weight_kg,fee_rebate,fee_no_rebate
0.05,15.432624,272.643024
0.1,79.735224,336.945624
0.15,144.037824,401.248224
0.2,208.340424,465.550824
0.25,272.643024,529.853424
0.3,336.945624,594.156024
0.35,401.248224,658.458624
0.4,465.550824,722.761224
0.45,529.853424,787.063824
0.5,594.156024,851.366424
0.55,658.458624,915.669024
0.6,722.761224,979.971624
0.65,787.063824,1044.274224
0.7,851.366424,1108.576824
0.75,915.669024,1172.879424
0.8,979.971624,1237.182024
0.85,1044.274224,1301.484624
0.9,1108.576824,1365.787224
0.95,1172.879424,1430.089824
1,1237.182024,1494.392424
1.05,1301.484624,1558.695024
1.1,1365.787224,1622.997624
1.15,1430.089824,1687.300224
1.2,1494.392424,1751.602824
1.25,1558.695024,1815.905424
1.3,1622.997624,1880.208024
1.35,1687.300224,1944.510624
1.4,1751.602824,2008.813224
1.45,1815.905424,2073.115824
1.5,1880.208024,2137.418424
1.55,1944.510624,2201.721024
1.6,2008.813224,2266.023624
1.65,2073.115824,2330.326224
1.7,2137.418424,2394.628824
1.75,2201.721024,2458.931424
1.8,2266.023624,2523.234024
1.85,2330.326224,2587.536624
1.9,2394.628824,2651.839224
1.95,2458.931424,2716.141824
2,2523.234024,2780.444424
