weight_kg,fee_rebate,fee_no_rebate
0.1,253.51755,409.266
0.2,279.6651,435.41355
0.3,305.81265,461.5611
0.4,331.9602,487.70865
0.5,358.10775,513.8562
0.75,642.32025,798.0687
1,926.53275,1082.2812
1.25,1210.74525,1366.4937
1.5,1494.95775,1650.7062
1.75,1779.17025,1934.9187
2,2063.38275,2219.1312
2.25,2347.59525,2503.3437
2.5,2631.80775,2787.5562
2.75,2916.02025,3071.7687
3,3200.23275,3355.9812
3.25,3484.44525,3640.1937
3.5,3768.65775,3924.4062
3.75,4052.87025,4208.6187
4,4337.08275,4492.8312
4.25,4621.29525,4777.0437
4.5,4905.50775,5061.2562
4.75,5189.72025,5345.4687
5,5473.93275,5629.6812
5.25,5758.14525,5913.8937
5.5,6042.35775,6198.1062
5.75,6326.57025,6482.3187
6,6610.78275,6766.5312
6.25,6894.99525,7050.7437
6.5,7179.20775,7334.9562
6.75,7463.42025,7619.1687
7,7747.63275,7903.3812
7.25,8031.84525,8187.5937
7.5,8316.05775,8471.8062
7.75,8600.27025,8756.0187
8,8884.48275,9040.2312
8.25,9168.69525,9324.4437
8.5,9452.90775,9608.6562
8.75,9737.12025,9892.8687
9,10021.33275,10177.0812
9.25,10305.54525,10461.2937
9.5,10589.75775,10745.5062
9.75,10873.97025,11029.7187
10,11158.18275,11313.9312
10.25,11442.39525,11598.1437
10.5,11726.60775,11882.3562
10.75,12010.82025,12166.5687
11,12295.03275,12450.7812
11.25,12579.24525,12734.9937
11.5,12863.45775,13019.2062
11.75,13147.67025,13303.4187
12,13431.88275,13587.6312
12.25,13716.09525,13871.8437
12.5,14000.30775,14156.0562
12.75,14284.52025,14440.2687
13,14568.73275,14724.4812
13.25,14852.94525,15008.6937
13.5,15137.15775,15292.9062
13.75,15421.37025,15577.1187
14,15705.58275,15861.3312
14.25,15989.79525,16145.5437
14.5,16274.00775,16429.7562
14.75,16558.22025,16713.9687
15,16842.43275,16998.1812
15.25,17126.64525,17282.3937
15.5,17410.85775,17566.6062
15.75,17695.07025,17850.8187
16,17979.28275,18135.0312
16.25,18263.49525,18419.2437
16.5,18547.70775,18703.4562
16.75,18831.92025,18987.6687
17,19116.13275,19271.8812
17.25,19400.34525,19556.0937
17.5,19684.55775,19840.3062
17.75,19968.77025,20124.5187
18,20252.98275,20408.7312
18.25,20537.19525,20692.9437
18.5,20821.40775,20977.1562
18.75,21105.62025,21261.3687
19,21389.83275,21545.5812
19.25,21674.04525,21829.7937
19.5,21958.25775,22114.0062
19.75,22242.47025,22398.2187
20,22526.68275,22682.4312
